tweet_id,text,source,twitter_text,rating_numerator,rating_denominator,text_rating,text_rating_numerator,text_rating_denominator,date,time,retweet_count,favorite_count,retweeted,media_type,image_url_left,image_url_right,img_num,expanded_urls,jpg_url,dog_type,p_conf,is_dog,name,stage
892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut.  ,13.0,10.0,"[('13', '10')]",13.0,10.0,2017-08-01,16:23:56,8314.0,38016.0,False,photo,['https://t.co/MgUWQ76dJU'],https://t.co/MgUWQ76dJU,1.0,https://twitter.com/dog_rates/status/892420643555336193/photo/1,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,Chihuahua,0.323581,True,Phineas,
892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit.  ",13.0,10.0,"[('13', '10')]",13.0,10.0,2017-08-01,00:17:27,6142.0,32636.0,False,photo,['https://t.co/0Xxu71qeIV'],https://t.co/0Xxu71qeIV,1.0,https://twitter.com/dog_rates/status/892177421306343426/photo/1,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,0.323581,True,Tilly,
891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike.  ,12.0,10.0,"[('12', '10')]",12.0,10.0,2017-07-31,00:18:03,4067.0,24560.0,False,photo,['https://t.co/wUnZnhtVJB'],https://t.co/wUnZnhtVJB,1.0,https://twitter.com/dog_rates/status/891815181378084864/photo/1,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,0.716012,True,Archie,
891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Darla. She commenced a snooze mid meal.  happens to the best of us ,13.0,10.0,"[('13', '10')]",13.0,10.0,2017-07-30,15:58:51,8459.0,41368.0,False,photo,['https://t.co/tD36da7qLQ'],https://t.co/tD36da7qLQ,1.0,https://twitter.com/dog_rates/status/891689557279858688/photo/1,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,Labrador_retriever,0.168086,True,Darla,
891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such.  #BarkWeek ",12.0,10.0,"[('12', '10')]",12.0,10.0,2017-07-29,16:00:24,9158.0,39548.0,False,photo,['https://t.co/AtUZn91f7f'],https://t.co/AtUZn91f7f,2.0,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset,0.555712,True,Franklin,
891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking.  (IG: tucker_marlo) #BarkWeek ,13.0,10.0,"[('13', '10')]",13.0,10.0,2017-07-29,00:08:17,3048.0,19863.0,False,photo,['https://t.co/kQ04fDDRmh'],https://t.co/kQ04fDDRmh,1.0,https://twitter.com/dog_rates/status/891087950875897856/photo/1,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Chesapeake_Bay_retriever,0.425595,True,,
890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Meet Jax. He enjoys ice cream so much he gets nervous around it.  help Jax enjoy more things by clicking below

 ",13.0,10.0,"[('13', '10')]",13.0,10.0,2017-07-28,16:27:12,2019.0,11615.0,False,photo,['https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl'],https://t.co/tVJBRMnhxl,1.0,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,0.341703,True,Jax,
890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy.  ,13.0,10.0,"[('13', '10')]",13.0,10.0,2017-07-28,00:22:40,18443.0,64154.0,False,photo,['https://t.co/v0nONBcwxq'],https://t.co/v0nONBcwxq,2.0,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,0.566142,True,,
890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet.  #BarkWeek ,13.0,10.0,"[('13', '10')]",13.0,10.0,2017-07-27,16:25:51,4182.0,27291.0,False,photo,['https://t.co/9TwLuAGH0b'],https://t.co/9TwLuAGH0b,1.0,https://twitter.com/dog_rates/status/890609185150312448/photo/1,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish_terrier,0.487574,True,Zoey,
890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Cassie. She is a college pup. Studying international doggo communication and stick theory.  so elegant much sophisticate ,14.0,10.0,"[('14', '10')]",14.0,10.0,2017-07-26,15:59:51,7215.0,31309.0,False,photo,['https://t.co/t1bfwz5S2A'],https://t.co/t1bfwz5S2A,1.0,https://twitter.com/dog_rates/status/890240255349198849/photo/1,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,0.511319,True,Cassie,doggo
